Date,Open,High,Low,Close
04/11/2024,106.05,106.9,104.89,105.55
04/12/2024,106.1,108.75,106,107.1
04/15/2024,107,107.35,105,105
04/16/2024,104.5,105.35,102.3,102.45
04/17/2024,102.25,104.5,102,103.15
04/18/2024,103.55,105.45,103.35,104.7
04/19/2024,104.3,105.65,103.5,105.4
04/22/2024,106.7,109.3,106.45,108.15
04/23/2024,108.8,109.4,106.6,107
04/24/2024,106.95,107.3,104.65,105.25
04/25/2024,105.4,105.78,104.3,104.7
04/26/2024,105.3,106.26,104.3,105
04/29/2024,105,105.4,103.8,104.5
04/30/2024,104.35,105.65,102.5,102.6
05/01/2024,103.9,109.07,102.6,103.85
05/02/2024,103.4,107.5,102.8,103.55
05/03/2024,104.15,106.28,102.9,105.1
05/07/2024,106.45,106.9,105.1,105.45
05/08/2024,105.45,105.8,103.72,104.7
05/09/2024,104.7,106.76,104.5,106
05/10/2024,105.8,107.5,105.12,105.4
05/13/2024,105.5,109.51,104.75,108.95
05/14/2024,109.35,112.6,108.25,112.2
05/15/2024,112.55,114.67,111.5,113.15
05/16/2024,123.5,133.25,120.37,132.6
05/17/2024,132.7,135.95,132.4,134.25
05/20/2024,133.85,134.61,132.25,132.25
05/21/2024,131.45,133.05,127.1,128
05/22/2024,127.5,130.5,125.4,129.15
05/23/2024,128.6,129.95,124.35,127.3
05/24/2024,126.55,128.3,126.05,127.1
05/28/2024,127.4,129.03,126.3,128.6
05/29/2024,127.85,129.4,126.25,127.1
05/30/2024,126.2,129.3,126.1,128.8
05/31/2024,129.2,130.7,128,130.6
06/03/2024,131.8,133.25,130.62,132.7
06/04/2024,131.6,134,131.31,133.35
06/05/2024,133.85,134.5,132.5,132.8
06/06/2024,131.75,134,130.45,133.15
06/07/2024,133.3,134.2,130.95,132.05
06/10/2024,131.1,132.85,129.35,129.65
06/11/2024,130,130.95,127.42,128
06/12/2024,128.25,130.95,127.2,129.4
06/13/2024,129.45,135.15,129.35,135
